City,id,Country,Lat,Lng
sioux lookout,6148373,CA,50.100071,-91.916969
turkan,584792,AZ,40.363892,50.215
dalbandin,1180729,PK,28.894699,64.410088
tasiilaq,3424607,GL,65.61451,-37.636761
saskylakh,2017155,RU,71.91667199999999,114.08332800000001
kampot,1831112,KH,10.61667,104.183327
upernavik,3418910,GL,72.78684200000001,-56.15485
port alfred,964432,ZA,-33.590569,26.891040999999998
qaanaaq,3831208,GL,77.483971,-69.363213
pokosnoye,2017842,RU,55.525829,101.053612
dikson,1507390,RU,73.506943,80.546387
kushima,1895695,JP,31.45833,131.233337
finschhafen,2097418,PG,-6.60243,147.868134
isangel,2136825,VU,-19.549999,169.266663
hithadhoo,1282256,MV,-0.6,73.08332800000001
faanui,4034551,PF,-16.48333,-151.75
maragogi,3395458,BR,-9.01222,-35.2225
tuy hoa,1563281,VN,13.08333,109.300003
mungaa,152546,TZ,-4.96667,34.883331
rikitea,4030556,PF,-23.120279,-134.969177
punta arenas,3874787,CL,-53.150002,-70.91667199999999
gulu,233346,UG,2.77457,32.298988
easley,4577263,US,34.829842,-82.601517
port-cartier,6111696,CA,50.033390000000004,-66.865448
kolokani,2454955,ML,13.5728,-8.0339
kapaa,5848280,US,22.075211,-159.318954
malakal,370737,SS,9.53342,31.66048
cap malheureux,934649,MU,-19.984171,57.614169999999994
ayorou,2447416,NE,14.73075,0.91738
cape town,3369157,ZA,-33.925838,18.42322
bluff,2206939,NZ,-46.599998,168.333328
bernau,2950099,DE,47.800179,8.0383
mahanoro,1062553,MG,-19.9,48.799999
hilo,5855927,US,19.729719,-155.08999599999999
severo-kurilsk,2121385,RU,50.67889,156.125
vaini,4032243,TO,-21.200001,-175.199997
kichera,2022129,RU,55.9375,110.09971599999999
shu,1519030,KZ,43.598331,73.761391
yellowknife,6185377,CA,62.456001,-114.352547
bredasdorp,1015776,ZA,-34.53215,20.04031
poum,2138555,NC,-20.23333,164.016663
tiksi,2015306,RU,71.687218,128.86944599999998
praia da vitoria,3372760,PT,38.73333,-27.066669
esso,2125711,RU,55.933331,158.699997
